,num_execucao,n,tempo
0,1,10,6.129956960678101
1,2,10,6.0888001918792725
2,3,10,6.265861988067627
3,4,10,6.158418416976929
4,5,10,6.171490907669067
5,6,10,6.107655763626099
6,7,10,6.002132892608643
7,8,10,6.151565790176392
8,9,10,6.153927803039551
9,10,10,6.34160852432251
10,11,10,5.992664813995361
11,12,10,6.035868406295776
12,13,10,6.9429426193237305
13,14,10,6.549334526062012
14,15,10,6.337572813034058
15,16,10,6.383419990539551
16,17,10,6.313016653060913
17,18,10,6.24207329750061
18,19,10,6.281141757965088
19,20,10,6.4892449378967285
20,1,50,32.06283402442932
21,2,50,31.606913566589355
22,3,50,31.115337133407593
23,4,50,31.016008377075195
24,5,50,30.697538137435913
25,6,50,31.39561414718628
26,7,50,30.78945517539978
27,8,50,30.58923625946045
28,9,50,30.346219062805176
29,10,50,30.314310550689697
30,11,50,30.845080614089966
31,12,50,30.935774087905884
32,13,50,31.254560232162476
33,14,50,31.91754150390625
34,15,50,29.85978674888611
35,16,50,31.189357042312622
36,17,50,30.221251726150513
37,18,50,30.793527841567993
38,19,50,30.875107049942017
39,20,50,31.22296690940857
40,1,100,65.07539939880371
41,2,100,63.78955316543579
42,3,100,64.41399621963501
43,4,100,67.29256415367126
44,5,100,64.47822189331055
45,6,100,68.90808200836182
46,7,100,67.0032410621643
47,8,100,67.06230688095093
48,9,100,66.73194122314453
49,10,100,64.91952967643738
50,11,100,66.92602109909058
51,12,100,64.4832227230072
52,13,100,69.12685799598694
53,14,100,65.47724509239197
54,15,100,66.66880083084106
55,16,100,62.081294536590576
56,17,100,61.21552848815918
57,18,100,61.642468214035034
58,19,100,61.56361937522888
59,20,100,61.99800944328308
60,1,200,124.9217472076416
61,2,200,123.33909893035889
62,3,200,125.01130032539368
63,4,200,125.13361549377441
64,5,200,125.2195246219635
65,6,200,124.18312811851501
66,7,200,125.08413815498352
67,8,200,127.51207709312439
68,9,200,123.24447464942932
69,10,200,124.17104959487915
70,11,200,124.06616950035095
71,12,200,129.9474537372589
72,13,200,125.1647298336029
73,14,200,128.0341649055481
74,15,200,125.25322699546814
75,16,200,123.06311416625977
76,17,200,125.88980865478516
77,18,200,124.73802733421326
78,19,200,123.88982510566711
79,20,200,122.5567638874054
80,1,500,305.78089213371277
81,2,500,314.2520327568054
82,3,500,314.40638399124146
83,4,500,309.07031512260437
84,5,500,309.1666443347931
85,6,500,311.68439865112305
86,7,500,310.6044251918793
87,8,500,321.9938910007477
88,9,500,331.32206177711487
89,10,500,323.43442821502686
90,11,500,329.10602617263794
91,12,500,327.13168597221375
92,13,500,326.4389946460724
93,14,500,325.4808118343353
94,15,500,337.7167582511902
95,16,500,339.67748379707336
96,17,500,335.5680618286133
97,18,500,347.4732155799866
98,19,500,366.6172308921814
99,20,500,351.6441218852997
100,1,1000,689.8534092903137
101,2,1000,655.8284103870392
102,3,1000,658.2197840213776
103,4,1000,654.1715898513794
104,5,1000,650.0935397148132
105,6,1000,649.8715002536774
106,7,1000,652.3027083873749
107,8,1000,650.4008724689484
108,9,1000,652.3073053359985
109,10,1000,650.5255515575409
110,11,1000,657.2686905860901
111,12,1000,662.4596223831177
112,13,1000,656.7191739082336
113,14,1000,647.0774526596069
114,15,1000,651.2744827270508
115,16,1000,655.066793680191
116,17,1000,649.5109338760376
117,18,1000,647.3478889465332
118,19,1000,644.7971796989441
119,20,1000,648.3251857757568
